"Source:","C:\Projects\nbolton\greenhouse\hardware\greenhouse-node-ts\greenhouse-node-ts.kicad_sch"
"Date:","27/04/2023 15:37:38"
"Tool:","Eeschema 7.0.1"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","31"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"AE1","1","U.FL-R-SMT-1","Antenna_Shield","Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1_Vertical","Antenna with extra pin for shielding","",""
"C1, C10, C13, C15","4","100nF","C_Small","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","Unpolarized capacitor, small symbol","",""
"C14, C16","2","10nF","C_Small","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","Unpolarized capacitor, small symbol","",""
"D6","1","BAT46","BAT46","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","100V 0.15A Small Signal Schottky Diode, DO-35","",""
"D7","1","LED_Sm_G","LED_Small","LED_THT:LED_D3.0mm","Light emitting diode, small symbol","",""
"D8","1","LED_Sm_R","LED_Small","LED_THT:LED_D3.0mm","Light emitting diode, small symbol","",""
"D9","1","LED_Sm_Y","LED_Small","LED_THT:LED_D3.0mm","Light emitting diode, small symbol","",""
"D10","1","LED_Sm_B","LED_Small","LED_THT:LED_D3.0mm","Light emitting diode, small symbol","",""
"H1, H2, H3, H4","4","MountingHole","MountingHole","MountingHole:MountingHole_3.2mm_M3","Mounting Hole without connection","",""
"J1","1","Conn_01x12_Pin","Conn_01x12_Pin","","Generic connector, single row, 01x12, script generated","",""
"J3","1","Conn_01x02_Pin","Conn_01x02_Pin","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated","",""
"J7","1","Conn_01x04_Pin","Conn_01x04_Pin","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","Generic connector, single row, 01x04, script generated","",""
"R1, R9, R12","3","5k","R_Small_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor, small US symbol","",""
"R7, R8","2","10k","R_Small_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor, small US symbol","",""
"R10, R11","2","1k","R_Small_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor, small US symbol","",""
"SW1","1","SW_Push","SW_Push","Button_Switch_THT:SW_PUSH_6mm","Push button switch, generic, two pins","",""
"U5","1","STM32F030F4P6","STM32F030F4Px","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","STMicroelectronics Arm Cortex-M0 MCU, 16KB flash, 4KB RAM, 48 MHz, 2.4-3.6V, 15 GPIO, TSSOP20","",""
"U7","1","PCF8574ATS/3,118","PCF8574","Package_SO:SSOP-20_4.4x6.5mm_P0.65mm","8 Bit Port/Expander to I2C Bus, DIP/SOIC-16","",""
"U8","1","XC6706x","XC6706x","Package_TO_SOT_SMD:SOT-89-3","200mA, Low Drop-out Voltage Regulator, Fixed Output, SOT-23-5","",""
"U9","1","RFM69HW","RFM69HW","Nick:HopeRF_RFM69HW","ISM Radio Transceiver Module, SPI interface","",""
