"Source:","C:\Projects\nbolton\greenhouse\hardware\greenhouse-node\greenhouse-node.kicad_sch"
"Date:","30/11/2022 10:47:27"
"Tool:","Eeschema (6.0.2)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","54"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","100uF","Device:C_Small","Capacitor_THT:C_Radial_D5.0mm_H7.0mm_P2.00mm","~"
"","","C2","10nF","Device:C_Small","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~"
"","","C3","330nF","Device:C_Small","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~"
"","","C4","100nF","Device:C_Small","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~"
"","","C5","22pF","Device:C_Small","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~"
"","","C6","22pF","Device:C_Small","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~"
"","","C7","10nF","Device:C_Small","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~"
"","","C8","330nF","Device:C_Small","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~"
"","","C9","100nF","Device:C_Small","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~"
"","","D1","1N5408RL","Device:D","Diode_THT:D_A-405_P7.62mm_Horizontal","~"
"","","D2","LED_Sm_G","Device:LED_Small","LED_THT:LED_D3.0mm","~"
"","","D3","LED_Sm_R","Device:LED_Small","LED_THT:LED_D3.0mm","~"
"","","D4","LED_Sm_Y","Device:LED_Small","LED_THT:LED_D3.0mm","~"
"","","D5","LED_Sm_B","Device:LED_Small","LED_THT:LED_D3.0mm","~"
"","","D6","LED_Sm_B",":LED_Small_1","LED_THT:LED_D3.0mm","~"
"","","D7","LED_Sm_Y","Device:LED_Small","LED_THT:LED_D3.0mm","~"
"","","H1","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
"","","H2","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
"","","H3","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
"","","H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
"","","J1","Conn_01x12_Male","Connector:Conn_01x12_Male","Connector_Molex:Molex_KK-254_AE-6410-12A_1x12_P2.54mm_Vertical","~"
"","","J2","Conn_01x02_Male","Connector:Conn_01x02_Male","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~"
"","","J4","Conn_01x02_Male","Connector:Conn_01x02_Male","Connector_Molex:Molex_KK-396_A-41791-0002_1x02_P3.96mm_Vertical","~"
"","","J5","Conn_01x04_Male","Connector:Conn_01x04_Male","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~"
"","","J6","Conn_01x05_Female","Connector:Conn_01x05_Female","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~"
"","","J7","Conn_01x02_Male","Connector:Conn_01x02_Male","Connector_Molex:Molex_KK-396_A-41791-0002_1x02_P3.96mm_Vertical","~"
"","","Q1","BC549C","Transistor_BJT:BC549","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf"
"","","Q2","BC549C","Transistor_BJT:BC549","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf"
"","","Q3","IRF4905","Transistor_FET:IRF4905","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","http://www.infineon.com/dgdl/irf4905.pdf?fileId=5546d462533600a4015355e32165197c"
"","","Q4","FDP7030BL","Nick:FDP7030BL","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","https://www.farnell.com/datasheets/245431.pdf"
"","","Q5","IRF4905","Transistor_FET:IRF4905","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","http://www.infineon.com/dgdl/irf4905.pdf?fileId=5546d462533600a4015355e32165197c"
"","","Q6","FDP7030BL","Nick:FDP7030BL","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","https://www.farnell.com/datasheets/245431.pdf"
"","","Q7","BC549C","Transistor_BJT:BC549","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf"
"","","Q8","BC549C","Transistor_BJT:BC549","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf"
